repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini
elastic/elasticsearch,85,73325,25349,5304,Java,347,2000,0.9523809523809523,21,0.11666666666666667,0.047619047619047616,1.8095238095238095,11.11111111111111,0.5444444444444444,180,0,-0.21589494672506993
apache/kafka,60,30557,14520,239,Java,347,1201,0.0,0,0.0,0.0,0.0,6.6722222222222225,0.95,180,0,-0.28934733953462766
google/guava,85,50964,11031,718,Java,322,217,0.6,5,0.027777777777777776,0.4,5.0,1.2055555555555555,0.5055555555555555,180,2,-0.09717759543253407
ReactiveX/RxJava,80,48215,7606,13,Java,289,44,0.13333333333333333,12,0.06666666666666667,0.9166666666666666,3.466666666666667,0.24444444444444444,0.15,180,2,-0.09392216740485639
torvalds/linux,35,198283,57073,485,C,0,2000,0.0,0,0.0,0.0,0.0,11.11111111111111,0.5277777777777778,180,0,0.0
microsoft/terminal,85,98998,8665,1670,C++,413,153,0.4576271186440678,59,0.3277777777777778,0.5423728813559322,2.2203389830508473,0.85,0.3888888888888889,180,3,-0.1302180767976153
redis/redis,85,70179,24137,2630,C,382,360,0.6666666666666666,33,0.18333333333333332,0.3333333333333333,4.090909090909091,2.0,0.6833333333333333,180,1,-0.08390195137242182
nginx/nginx,80,27543,7439,252,C,80,79,0.6410256410256411,39,0.21666666666666667,0.358974358974359,1.5128205128205128,0.4388888888888889,0.26666666666666666,180,2,-0.10082724988032551
golang/go,85,129077,18273,9436,Go,383,1428,0.4367816091954023,87,0.48333333333333334,0.5632183908045977,2.7241379310344827,7.933333333333334,1.6055555555555556,180,1,-0.1750722859330744
kubernetes/kubernetes,85,116516,41020,2501,Go,346,2000,0.8064516129032258,31,0.17222222222222222,0.1935483870967742,4.258064516129032,11.11111111111111,0.8222222222222222,180,1,-0.2975478080769509
moby/moby,75,70288,18786,3612,Go,398,2000,0.625,16,0.08888888888888889,0.375,0.5625,11.11111111111111,0.9888888888888889,180,1,-0.13194642784970428
prometheus/prometheus,85,59637,9672,698,Go,352,897,0.6333333333333333,30,0.16666666666666666,0.36666666666666664,1.1,4.983333333333333,0.8555555555555555,180,2,-0.15523860316728166
grafana/grafana,75,69169,12786,3775,TypeScript,373,2000,0.9,20,0.1111111111111111,0.1,0.3,11.11111111111111,0.46111111111111114,180,1,-0.24784255903758182
tensorflow/tensorflow,85,190891,74770,1476,C++,410,2000,0.3333333333333333,3,0.016666666666666666,0.6666666666666666,1.6666666666666667,11.11111111111111,0.3277777777777778,180,1,-0.3261343665421499
pytorch/pytorch,75,91770,24774,16647,Python,321,2000,1.0,29,0.16111111111111112,0.0,0.896551724137931,11.11111111111111,0.26666666666666666,180,0,-0.4248648426776618
huggingface/transformers,85,147451,29774,1875,Python,436,1917,0.7222222222222222,18,0.1,0.2777777777777778,2.0555555555555554,10.65,0.8,180,0,-0.21133846471503256
microsoft/ML-For-Beginners,75,75529,16694,16,HTML,128,13,0.5454545454545454,11,0.06111111111111111,0.45454545454545453,2.5454545454545454,0.07222222222222222,0.05,180,1,-0.22561318195908245
openai/whisper,50,85533,10476,89,Python,78,12,0.0,0,0.0,0.0,0.0,0.06666666666666667,0.016666666666666666,180,1,-0.5216006216006216
microsoft/vscode,75,174974,33948,11968,TypeScript,328,2000,0.775,80,0.4444444444444444,0.225,0.9,11.11111111111111,0.32222222222222224,180,1,-0.08638100842985705
git/git,60,55750,26438,244,C,423,1727,0.0,0,0.0,0.0,0.0,9.594444444444445,0.9888888888888889,180,1,-0.150163240997824
Unknown,0,0,0,0,Unknown,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0.0
atom/atom,45,60563,17317,993,JavaScript,325,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,1,-0.08057056992462258
neovim/neovim,85,91381,6208,1971,Vim Script,435,1687,0.64,25,0.1388888888888889,0.36,3.0,9.372222222222222,1.1277777777777778,180,2,-0.10670817952500657
flutter/flutter,85,171521,28899,12050,Dart,383,2000,0.5217391304347826,46,0.25555555555555554,0.4782608695652174,1.8695652173913044,11.11111111111111,0.7333333333333333,180,2,-0.15119310939260758
facebook/react-native,85,123156,24768,1054,C++,308,2000,0.6470588235294118,17,0.09444444444444444,0.35294117647058826,4.176470588235294,11.11111111111111,0.6,180,0,-0.27850008839425133
ionic-team/ionic-framework,85,51919,13439,585,TypeScript,395,196,0.7586206896551724,29,0.16111111111111112,0.2413793103448276,1.3448275862068966,1.0888888888888888,0.3611111111111111,180,4,-0.06700912464289445
jupyter/notebook,80,12439,5309,1970,Jupyter Notebook,370,43,0.2777777777777778,36,0.2,0.7222222222222222,3.0555555555555554,0.2388888888888889,0.15555555555555556,180,4,-0.09275972843322268
plotly/plotly.js,85,17749,1915,723,JavaScript,238,446,0.7666666666666667,60,0.3333333333333333,0.23333333333333334,1.5166666666666666,2.477777777777778,0.45555555555555555,180,3,-0.08522237168643643
apache/superset,85,67271,15384,767,TypeScript,424,822,0.5,24,0.13333333333333333,0.5,2.7916666666666665,4.566666666666666,0.8222222222222222,180,1,-0.14335804703404875
rust-lang/rust,85,105290,13580,11430,Rust,450,2000,1.0,25,0.1388888888888889,0.0,1.2,11.11111111111111,0.45,180,1,-0.2398599649461415
denoland/deno,85,103682,5658,2326,Rust,426,1019,0.6538461538461539,52,0.28888888888888886,0.34615384615384615,1.5961538461538463,5.661111111111111,0.8611111111111112,180,3,-0.1220797405459405
octocat/Hello-World,50,3040,3275,1793,,3,0,0.8648648648648649,37,0.20555555555555555,0.13513513513513514,0.21621621621621623,0.0,0.0,180,3,-1.5555555555555556
github/docs,85,17621,62546,69,TypeScript,431,2000,0.26666666666666666,30,0.16666666666666666,0.7333333333333333,1.6333333333333333,11.11111111111111,0.5777777777777777,180,2,-0.11141967163661638
