health_score,open_issues,open_ratio,repository,stars,forks,language,total_contributors,core_contributors,contribution_gini,top_contributor_percentage,total_commits,commits_per_day,activity_ratio,unique_authors,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,log_stars,log_contributors,contributors_per_star,commits_per_contributor,time_window_days,recent_contributors,log_recent_contributors,recent_contributor_ratio,recent_contributors_per_star
80,482,0.7272727272727273,chartjs/Chart.js,66288,11961,JavaScript,426,2,-0.1305942193243851,0.3349909584086799,25,0.1388888888888889,0.0888888888888888,14,49,0.2722222222222222,0.3265306122448979,1.393939393939394,11.101779249890097,6.056784013228625,0.0064265025343953,0.0586854460093896,180,14,2.70805020110221,0.0328638497652582,0.0002111996138064
80,690,0.5333333333333333,axios/axios,107315,11182,JavaScript,442,3,-0.3079438518535751,0.2017994858611825,72,0.4,0.2277777777777777,36,45,0.25,0.4666666666666667,2.0,11.58353303213418,6.093569770045136,0.0041187159297395,0.1628959276018099,180,36,3.610917912644224,0.0814479638009049,0.0003354610259516
75,95,0.1851851851851851,jquery/jquery,59541,20562,JavaScript,293,2,-0.0949195916118073,0.2715892885438123,14,0.0777777777777777,0.0555555555555555,3,18,0.1,0.7222222222222222,3.6296296296296298,10.994437224868893,5.683579767338681,0.0049209788213164,0.0477815699658703,180,3,1.3862943611198906,0.0102389078498293,5.0385448682420515e-05
75,21,0.0,d3/d3,111152,22844,Shell,135,2,-0.0734074571549386,0.7297962838594135,2,0.0111111111111111,0.0111111111111111,2,6,0.0333333333333333,1.0,1.75,11.61866290958141,4.912654885736052,0.0012145530444796,0.0148148148148148,180,2,1.0986122886681098,0.0148148148148148,1.7993378436735283e-05
85,561,0.5,twbs/bootstrap,172722,79122,MDX,358,2,-0.0736401639546785,0.4484802860637997,151,0.8388888888888889,0.4666666666666667,32,42,0.2333333333333333,0.5,1.5,12.059444434190231,5.883322388488279,0.0020726948506849,0.4217877094972067,180,32,3.49650756146648,0.0893854748603352,0.000185268813469
85,394,0.4864864864864865,facebook/metro,5435,663,JavaScript,328,2,-0.1706880309673883,0.1261235955056179,207,1.15,0.5722222222222222,28,37,0.2055555555555555,0.5135135135135135,3.756756756756757,8.600798775271034,5.796057750765372,0.0603495860165593,0.6310975609756098,180,28,3.367295829986474,0.0853658536585365,0.0051517939282428
75,33,0.5333333333333333,gulpjs/gulp,33064,4211,JavaScript,224,2,-0.3161936955449613,0.2255466052934407,6,0.0333333333333333,0.0055555555555555,3,3,0.0166666666666666,0.3333333333333333,13.933333333333334,10.406230600108763,5.41610040220442,0.0067747398983789,0.0267857142857142,180,3,1.3862943611198906,0.0133928571428571,9.073312363900314e-05
80,583,0.5217391304347826,parcel-bundler/parcel,43919,2262,JavaScript,408,2,-0.1715500716415598,0.304147465437788,84,0.4666666666666667,0.1722222222222222,7,69,0.3833333333333333,0.4782608695652174,2.072463768115942,10.690125076183412,6.013715156042802,0.0092898290033926,0.2058823529411764,180,7,2.0794415416798357,0.017156862745098,0.0001593843211366
85,600,0.5,rollup/rollup,25905,1609,JavaScript,388,2,-0.0928832526931835,0.4324826770322799,163,0.9055555555555556,0.3277777777777778,30,30,0.1666666666666666,0.5,3.0,10.162229881090202,5.963579343618446,0.0149778035128353,0.4201030927835051,180,30,3.4339872044851463,0.0773195876288659,0.0011580775911986
85,2162,0.7368421052631579,storybookjs/storybook,87348,9627,TypeScript,370,2,-0.0911728326259627,0.2255224503035077,2000,11.11111111111111,0.5611111111111111,54,38,0.2111111111111111,0.2631578947368421,2.1052631578947367,11.377666867299762,5.916202062607435,0.004235929843843,5.405405405405405,180,54,4.007333185232471,0.1459459459459459,0.0006182167880203
85,9210,0.6176470588235294,python/cpython,68066,32458,Python,351,0,-0.1730133402440616,0.0973253444762924,2000,11.11111111111111,0.7611111111111111,372,34,0.1888888888888888,0.3823529411764705,3.764705882352941,11.12824779319225,5.863631175598097,0.0051567596156671,5.698005698005698,180,372,5.921578419643816,1.0598290598290598,0.0054652836952369
