health_score,open_issues,open_ratio,repository,stars,forks,language,total_contributors,core_contributors,contribution_gini,top_contributor_percentage,total_commits,commits_per_day,activity_ratio,unique_authors,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,log_stars,log_contributors,contributors_per_star,commits_per_contributor,time_window_days
75,717,0.7419354838709677,typicode/json-server,74676,7196,JavaScript,78,1,-0.13538834692680846,0.8846153846153846,1,0.005555555555555556,0.005555555555555556,1,9,0.05,0.0,6.903225806451613,11.220927425450801,4.3694478524670215,0.0010445122931062188,0.01282051282051282,180
70,118,0.6170212765957447,lodash/lodash,60766,7075,JavaScript,219,1,-0.052665601601354174,0.8711689000928752,0,0.0,0.0,0,22,0.12222222222222222,0.22727272727272727,4.638297872340425,11.014802157447122,5.393627546352362,0.0036039890728367836,0.0,180
70,292,0.6666666666666666,moment/moment,48097,7053,JavaScript,397,2,-0.1759726692207664,0.3785059705637323,0,0.0,0.0,0,20,0.1111111111111111,0.3,3.2333333333333334,10.780995875187799,5.986452005284438,0.008254153065679773,0.0,180
80,482,0.7272727272727273,chartjs/Chart.js,66288,11961,JavaScript,426,2,-0.13059421932438514,0.33499095840867993,25,0.1388888888888889,0.08888888888888889,14,49,0.2722222222222222,0.32653061224489793,1.393939393939394,11.101779249890095,6.056784013228625,0.006426502534395365,0.05868544600938967,180
80,690,0.5333333333333333,axios/axios,107315,11182,JavaScript,442,3,-0.30794385185357515,0.20179948586118251,72,0.4,0.22777777777777777,36,45,0.25,0.4666666666666667,2.0,11.58353303213418,6.093569770045136,0.004118715929739552,0.16289592760180996,180
75,95,0.18518518518518517,jquery/jquery,59541,20562,JavaScript,293,2,-0.09491959161180732,0.27158928854381237,14,0.07777777777777778,0.05555555555555555,3,18,0.1,0.7222222222222222,3.6296296296296298,10.994437224868893,5.683579767338681,0.004920978821316404,0.04778156996587031,180
75,21,0.0,d3/d3,111152,22844,Shell,135,2,-0.07340745715493868,0.7297962838594135,2,0.011111111111111112,0.011111111111111112,2,6,0.03333333333333333,1.0,1.75,11.61866290958141,4.912654885736052,0.0012145530444796315,0.014814814814814815,180
85,561,0.5,twbs/bootstrap,172722,79122,MDX,358,2,-0.07364016395467853,0.44848028606379975,151,0.8388888888888889,0.4666666666666667,32,42,0.23333333333333334,0.5,1.5,12.059444434190233,5.883322388488279,0.0020726948506849157,0.42178770949720673,180
85,394,0.4864864864864865,facebook/metro,5435,663,JavaScript,328,2,-0.17068803096738833,0.12612359550561797,207,1.15,0.5722222222222222,28,37,0.20555555555555555,0.5135135135135135,3.7567567567567566,8.600798775271034,5.796057750765372,0.06034958601655934,0.6310975609756098,180
75,33,0.5333333333333333,gulpjs/gulp,33064,4211,JavaScript,224,2,-0.31619369554496135,0.22554660529344073,6,0.03333333333333333,0.005555555555555556,3,3,0.016666666666666666,0.3333333333333333,13.933333333333334,10.406230600108763,5.41610040220442,0.006774739898378902,0.026785714285714284,180
70,162,0.25,gruntjs/grunt,12270,1499,JavaScript,75,1,-0.11796850742958527,0.7604790419161677,0,0.0,0.0,0,1,0.005555555555555556,0.0,1.5,9.414994033976548,4.330733340286331,0.006112469437652812,0.0,180
70,2069,0.7777777777777778,yarnpkg/yarn,41548,2733,JavaScript,441,2,-0.30388293300072183,0.13385826771653545,0,0.0,0.0,0,10,0.05555555555555555,0.0,6.666666666666667,10.634628732605282,6.091309882077698,0.010614229325117935,0.0,180
